Sequela,Health state name,Health state lay description,disability weight,lower,uppper
Severe motor plus cognitive impairment with blindness due to neonatal sepsis and other neonatal infections,Severe motor plus cognitive impairment with blindness,(combined DW),,,
Moderate motor plus cognitive impairment with blindness due to neonatal sepsis and other neonatal infections,Moderate motor plus cognitive impairment with blindness,(combined DW),,,
Moderate motor impairment with blindness and epilepsy due to neonatal sepsis and other neonatal infections,Moderate motor impairment with blindness and epilepsy,(combined DW),,,
Severe motor impairment with blindness and epilepsy due to hemolytic disease and other neonatal jaundice,Severe motor impairment with blindness and epilepsy,(combined DW),,,
Severe motor impairment with epilepsy due to hemolytic disease and other neonatal jaundice,Severe motor impairment with epilepsy,(combined DW),,,
Severe motor plus cognitive impairment with blindness and epilepsy due to hemolytic disease and other neonatal jaundice,Severe motor plus cognitive impairment with blindness and epilepsy,(combined DW),,,
Severe motor plus cognitive impairment with blindness due to hemolytic disease and other neonatal jaundice,Severe motor plus cognitive impairment with blindness,(combined DW),,,
Severe motor plus cognitive impairment with epilepsy due to hemolytic disease and other neonatal jaundice,Severe motor plus cognitive impairment with epilepsy,(combined DW),,,
Moderate motor impairment with blindness and epilepsy due to hemolytic disease and other neonatal jaundice,Moderate motor impairment with blindness and epilepsy,(combined DW),,,
Moderate motor plus cognitive impairment with epilepsy due to hemolytic disease and other neonatal jaundice,Moderate motor plus cognitive impairment with epilepsy,(combined DW),,,
Moderate motor impairment with epilepsy due to hemolytic disease and other neonatal jaundice,Moderate motor impairment with epilepsy,(combined DW),,,
Moderate motor plus cognitive impairment with blindness due to hemolytic disease and other neonatal jaundice,Moderate motor plus cognitive impairment with blindness,(combined DW),,,
Moderate motor impairment with blindness due to hemolytic disease and other neonatal jaundice,Moderate motor impairment with blindness,(combined DW),,,
Severe motor impairment severe due to hemolytic disease and other neonatal jaundice,"Motor impairment, severe","is unable to move around without help, and is not able to lift or hold objects, get dressed or sit upright. ",0.402,0.268,0.545
Moderate motor plus cognitive impairment with blindness and epilepsy due to hemolytic disease and other neonatal jaundice,Moderate motor plus cognitive impairment with blindness and epilepsy,(combined DW),,,
Moderate motor impairment due to hemolytic disease and other neonatal jaundice,"Motor impairment, moderate","has some difficulty in moving around, and difficulty in lifting and holding objects, dressing and sitting upright, but is able to walk without help.",0.061,0.04,0.089
Severe motor impairment with blindness due to hemolytic disease and other neonatal jaundice ,Severe motor impairment with blindness,(combined DW),,,
Other neonatal disorders,"Post-COMO calculation for residuals (YLL/YLD ratio, other methods)",--,,,
Moderate wasting without edema,Asymptomatic,--,,,
Moderate wasting with edema,Kwashiorkor,is very tired and irritable and has diarrhea. ,0.051,0.031,0.079
Severe wasting without edema,Severe wasting,is extremely skinny and has no energy. ,0.128,0.082,0.183
Severe wasting with edema,Kwashiorkor and severe wasting,(combined DW),0.172,0.115,0.238
Visible goiter with profound intellectual disability due to iodine deficiency,"Intellectual disability / mental retardation, profound and Iodine-deficiency goiter",(combined DW),0.358,0.252,0.475
Visible goiter with severe intellectual disability due to iodine deficiency,"Intellectual disability / mental retardation, severe and Iodine-deficiency goiter",(combined DW),0.326,0.233,0.438
Visible goiter with profound intellectual disability and mild heart failure due to iodine deficiency,"Intellectual disability / mental retardation, profound and Iodine-deficiency goiter and heart failure, mild",(combined DW),0.384,0.276,0.502
Visible goiter without symptoms,"Disfigurement, level 1","has a slight, visible physical deformity that others notice, which causes some worry and discomfort.",0.011,0.005,0.021
Visible goiter with profound intellectual disability and moderate heart failure due to iodine deficiency,"Intellectual disability / mental retardation, profound and Iodine-deficiency goiter and heart failure, moderate",(combined DW),0.403,0.293,0.524
Visible goiter with profound intellectual disability with severe heart failure due to iodine deficiency,"Intellectual disability / mental retardation, profound and Iodine-deficiency goiter and heart failure, severe",(combined DW),0.471,0.344,0.602
Visible goiter with symptoms without intellectual disability or heart failure,Iodine-deficiency goiter,"has a large mass in the front of the neck. The person sometimes has weakness and fatigue, constipation and weight gain.",0.199,0.133,0.276
Moderate vision impairment loss due to vitamin A deficiency,"Distance vision, moderate impairment",has vision problems that make it difficult to recognize faces or objects across a room.,0.031,0.019,0.049
Blindness due to vitamin A deficiency,Distance vision blindness,"is completely blind, which causes great difficulty in some daily activities, worry and anxiety, and great difficulty going outside the home without assistance. ",0.187,0.124,0.26
Severe vision impairment loss due to vitamin A deficiency,"Distance vision, severe impairment","has severe vision loss, which causes difficulty in daily activities, some emotional impact (for example worry), and some difficulty going outside the home without assistance.",0.184,0.125,0.258
Asymptomatic vitamin A deficiency,Asymptomatic,--,,,
Moderate heart failure due to iron-deficiency anemia,"Heart failure, moderate","is short of breath and easily tires with minimal physical activity, such as walking only a short distance. The person feels comfortable at rest but avoids moderate activity.",0.072,0.047,0.103
Mild iron-deficiency anemia,"Anemia, mild","feels slightly tired and weak at times, but this does not interfere with normal daily activities.",0.004,0.001,0.008
Asymptomatic and mild heart failure due to iron-deficiency anemia,"Heart failure, mild","is short of breath and easily tires with moderate physical activity, such as walking uphill or more than a quarter-mile on level ground. The person feels comfortable at rest or during activities requiring less effort.",0.041,0.026,0.062
Severe iron-deficiency anemia,"Anemia, severe","feels very weak, tired and short of breath, and has problems with activities that require physical effort or deep concentration.",0.149,0.101,0.209
Severe heart failure due to iron-deficiency anemia,"Heart failure, severe","is short of breath and feels tired when at rest. The person avoids any physical activity, for fear of worsening the breathing problems. ",0.179,0.122,0.251
Moderate iron-deficiency anemia,"Anemia, moderate","feels moderate fatigue, weakness, and shortness of breath after exercise, making daily activities more difficult.",0.052,0.034,0.076
Other nutritional deficiencies,"Post-COMO calculation for residuals (YLL/YLD ratio, other methods)",--,,,
Cardiovascular complications due to adult tertiary syphilis,"Infectious disease, acute episode, moderate ","has a fever and aches, and feels weak, which causes some difficulty with daily activities. ",0.051,0.032,0.074
"Severe disfigurement, neurological problems, and cardiovascular complications due to adult tertiary syphilis","Level 3 disfigurement, moderate motor plus cognitive impairments, and moderate infectious disease, acute episode",(combined DW),0.547,0.402,0.691
Severe disfigurement and cardiovascular complications due to adult tertiary syphilis,"Level 3 disfigurement and moderate infectious disease, acute episode",(combined DW),0.435,0.306,0.571
Neurological problems due to adult tertiary syphilis,"Motor plus cognitive impairments, moderate","has some difficulty in moving around, holding objects, dressing and sitting upright, but can walk without help. The person has low intelligence and is slow in learning to speak and to do simple tasks.",0.203,0.134,0.29
Severe disfigurement due to adult tertiary syphilis,"Disfigurement, level 3","has an obvious physical deformity that makes others uncomfortable, which causes the person to avoid social contact, feel worried, sleep poorly, and think about suicide.",0.405,0.275,0.546
Asymptomatic early syphilis infection,Asymptomatic,--,,,
Mild early syphilis infection,"Infectious disease, acute episode, mild","has a low fever and mild discomfort , but no difficulty with daily activities.",0.006,0.002,0.012
Neurological problems and cardiovascular complications due to adult tertiary syphilis,"Moderate motor plus cognitive impairments and moderate infectious disease, acute episode",(combined DW),0.243,0.168,0.333
Asymptomatic adult tertiary syphilis,Asymptomatic,--,,,
Severe disfigurement and neurological problems due to adult tertiary syphilis,Level 3 disfigurement and moderate motor plus cognitive impairments,(combined DW),0.523,0.378,0.669
Secondary infertility due to chlamydial infection,"Infertility, secondary","has at least one child, and wants to have more children. The person has a fertile partner, but the couple cannot conceive. ",0.005,0.002,0.011
Asymptomatic chlamydial infection,Asymptomatic,--,,,
Moderate pelvic inflammatory diseases due to chlamydial infection,"Abdominopelvic problem, moderate",has pain in the belly and feels nauseous. The person has difficulties with daily activities. ,0.114,0.078,0.159
Severe pelvic inflammatory diseases due to chlamydial infection,"Abdominopelvic problem, severe",has severe pain in the belly and feels nauseous. The person is anxious and unable to carry out daily activities.,0.324,0.22,0.442
Epididymo-orchitis due to chlamydial infection,Epididymo-orchitis,has swelling and tenderness in the testicles and pain during urination. ,0.128,0.086,0.18
Primary infertility due to chlamydial infection,"Infertility, primary","wants to have a child and has a fertile partner, but the couple cannot conceive.",0.008,0.003,0.015
Mild chlamydial infection,"Infectious disease, acute episode, mild","has a low fever and mild discomfort , but no difficulty with daily activities.",0.006,0.002,0.012
Primary infertility due to gonococcal infection,"Infertility, primary","wants to have a child and has a fertile partner, but the couple cannot conceive.",0.008,0.003,0.015
Epididymo-orchitis due to gonococcal infection,Epididymo-orchitis,has swelling and tenderness in the testicles and pain during urination. ,0.128,0.086,0.18
Severe pelvic inflammatory diseases due to gonococcal infection,"Abdominopelvic problem, severe",has severe pain in the belly and feels nauseous. The person is anxious and unable to carry out daily activities.,0.324,0.22,0.442
Asymptomatic gonococcal infection,Asymptomatic,--,,,
Mild gonococcal infection,"Infectious disease, acute episode, mild","has a low fever and mild discomfort , but no difficulty with daily activities.",0.006,0.002,0.012
Secondary infertility due to gonococcal infection,"Infertility, secondary","has at least one child, and wants to have more children. The person has a fertile partner, but the couple cannot conceive. ",0.005,0.002,0.011
Moderate pelvic inflammatory diseases due to gonococcal infection,"Abdominopelvic problem, moderate",has pain in the belly and feels nauseous. The person has difficulties with daily activities. ,0.114,0.078,0.159
Asymptomatic trichomoniasis infection,Asymptomatic,--,,,
Acute trichomoniasis infection,"Infectious disease, acute episode, mild","has a low fever and mild discomfort , but no difficulty with daily activities.",0.006,0.002,0.012
Moderate infection due to initial genital herpes episode,"Infectious disease, acute episode, moderate ","has a fever and aches, and feels weak, which causes some difficulty with daily activities. ",0.051,0.032,0.074
Asymptomatic genital herpes,Asymptomatic,--,,,
Symptomatic genital herpes,"Infectious disease, acute episode, mild","has a low fever and mild discomfort , but no difficulty with daily activities.",0.006,0.002,0.012
Primary infertility due to other sexually transmitted diseases,"Infertility, primary","wants to have a child and has a fertile partner, but the couple cannot conceive.",0.008,0.003,0.015
Severe pelvic inflammatory diseases due to other sexually transmitted diseases,"Abdominopelvic problem, severe",has severe pain in the belly and feels nauseous. The person is anxious and unable to carry out daily activities.,0.324,0.22,0.442
Other sexually transmitted diseases,"Post-COMO calculation for residuals (YLL/YLD ratio, other methods)",--,,,
Secondary infertility due to other sexually transmitted diseases,"Infertility, secondary","has at least one child, and wants to have more children. The person has a fertile partner, but the couple cannot conceive. ",0.005,0.002,0.011
Moderate pelvic inflammatory diseases due to other sexually transmitted diseases,"Abdominopelvic problem, moderate",has pain in the belly and feels nauseous. The person has difficulties with daily activities. ,0.114,0.078,0.159
Asymptomatic acute hepatitis A,Asymptomatic,--,,,
Severe acute hepatitis A,"Infectious disease, acute episode, severe","has a high fever and pain, and feels very weak, which causes great difficulty with daily activities.",0.133,0.088,0.19
Moderate acute hepatitis A,"Infectious disease, acute episode, moderate ","has a fever and aches, and feels weak, which causes some difficulty with daily activities. ",0.051,0.032,0.074
Severe acute hepatitis B,"Infectious disease, acute episode, severe","has a high fever and pain, and feels very weak, which causes great difficulty with daily activities.",0.133,0.088,0.19
Moderate acute hepatitis B,"Infectious disease, acute episode, moderate ","has a fever and aches, and feels weak, which causes some difficulty with daily activities. ",0.051,0.032,0.074
Chronic hepatitis B,Asymptomatic,--,,,
Asymptomatic acute hepatitis B,Asymptomatic,--,,,
Moderate acute hepatitis C,"Infectious disease, acute episode, moderate ","has a fever and aches, and feels weak, which causes some difficulty with daily activities. ",0.051,0.032,0.074
Severe acute hepatitis C,"Infectious disease, acute episode, severe","has a high fever and pain, and feels very weak, which causes great difficulty with daily activities.",0.133,0.088,0.19
Chronic hepatitis C,Asymptomatic,--,,,
Asymptomatic acute hepatitis C,Asymptomatic,--,,,
Asymptomatic acute hepatitis E,Asymptomatic,--,,,
Moderate acute hepatitis E,"Infectious disease, acute episode, moderate ","has a fever and aches, and feels weak, which causes some difficulty with daily activities. ",0.051,0.032,0.074
Severe acute hepatitis E,"Infectious disease, acute episode, severe","has a high fever and pain, and feels very weak, which causes great difficulty with daily activities.",0.133,0.088,0.19
Guillain-Barré syndrome due to other infectious diseases,Spinal cord lesion below neck level (treated),"is paralyzed from the waist down, cannot feel or move the legs and has difficulties with urine and bowel control. The person uses a wheelchair to move around.",0.296,0.198,0.414
Mild anemia due to other infectious diseases,"Anemia, mild","feels slightly tired and weak at times, but this does not interfere with normal daily activities.",0.004,0.001,0.008
Other infectious diseases,"Post-COMO calculation for residuals (YLL/YLD ratio, other methods)",--,,,
Moderate anemia due to other infectious diseases,"Anemia, moderate","feels moderate fatigue, weakness, and shortness of breath after exercise, making daily activities more difficult.",0.052,0.034,0.076
Severe anemia due to other infectious diseases,"Anemia, severe","feels very weak, tired and short of breath, and has problems with activities that require physical effort or deep concentration.",0.149,0.101,0.209
Controlled phase of mouth cancer,Generic uncomplicated disease: worry and daily medication,has a chronic disease that requires medication every day and causes some worry but minimal interference with daily activities.,0.049,0.031,0.072
Metastatic phase of mouth cancer,"Cancer, metastatic","has severe pain, extreme fatigue, weight loss and high anxiety.",0.451,0.307,0.6
Diagnosis and primary therapy phase of mouth cancer,"Cancer, diagnosis and primary therapy ","has pain, nausea, fatigue, weight loss and high anxiety.",0.288,0.193,0.399
Terminal phase of mouth cancer,"Terminal phase, with medication (for cancers, end-stage kidney/liver disease)","has lost a lot of weight and regularly uses strong medication to avoid constant pain. The person has no appetite, feels nauseous, and needs to spend most of the day in bed.",0.54,0.377,0.687
Terminal phase of nasopharynx cancer,"Terminal phase, with medication (for cancers, end-stage kidney/liver disease)","has lost a lot of weight and regularly uses strong medication to avoid constant pain. The person has no appetite, feels nauseous, and needs to spend most of the day in bed.",0.54,0.377,0.687
Controlled phase of nasopharynx cancer,Generic uncomplicated disease: worry and daily medication,has a chronic disease that requires medication every day and causes some worry but minimal interference with daily activities.,0.049,0.031,0.072
Metastatic phase of nasopharynx cancer,"Cancer, metastatic","has severe pain, extreme fatigue, weight loss and high anxiety.",0.451,0.307,0.6
Diagnosis and primary therapy phase of nasopharynx cancer,"Cancer, diagnosis and primary therapy ","has pain, nausea, fatigue, weight loss and high anxiety.",0.288,0.193,0.399
Controlled phase of other pharynx cancer,Generic uncomplicated disease: worry and daily medication,has a chronic disease that requires medication every day and causes some worry but minimal interference with daily activities.,0.049,0.031,0.072
Metastatic phase of other pharynx cancer,"Cancer, metastatic","has severe pain, extreme fatigue, weight loss and high anxiety.",0.451,0.307,0.6
Terminal phase of other pharynx cancer,"Terminal phase, with medication (for cancers, end-stage kidney/liver disease)","has lost a lot of weight and regularly uses strong medication to avoid constant pain. The person has no appetite, feels nauseous, and needs to spend most of the day in bed.",0.54,0.377,0.687
Diagnosis and primary therapy phase of other pharynx cancer,"Cancer, diagnosis and primary therapy ","has pain, nausea, fatigue, weight loss and high anxiety.",0.288,0.193,0.399
Controlled phase of esophageal cancer,Generic uncomplicated disease: worry and daily medication,has a chronic disease that requires medication every day and causes some worry but minimal interference with daily activities.,0.049,0.031,0.072
Terminal phase of esophageal cancer,"Terminal phase, with medication (for cancers, end-stage kidney/liver disease)","has lost a lot of weight and regularly uses strong medication to avoid constant pain. The person has no appetite, feels nauseous, and needs to spend most of the day in bed.",0.54,0.377,0.687
Metastatic phase of esophageal cancer,"Cancer, metastatic","has severe pain, extreme fatigue, weight loss and high anxiety.",0.451,0.307,0.6
Diagnosis and primary therapy phase of esophageal cancer,"Cancer, diagnosis and primary therapy ","has pain, nausea, fatigue, weight loss and high anxiety.",0.288,0.193,0.399
Diagnosis and primary therapy phase of stomach cancer,"Cancer, diagnosis and primary therapy ","has pain, nausea, fatigue, weight loss and high anxiety.",0.288,0.193,0.399
Metastatic phase of stomach cancer,"Cancer, metastatic","has severe pain, extreme fatigue, weight loss and high anxiety.",0.451,0.307,0.6
Terminal phase of stomach cancer,"Terminal phase, with medication (for cancers, end-stage kidney/liver disease)","has lost a lot of weight and regularly uses strong medication to avoid constant pain. The person has no appetite, feels nauseous, and needs to spend most of the day in bed.",0.54,0.377,0.687
Controlled phase of stomach cancer,Generic uncomplicated disease: worry and daily medication,has a chronic disease that requires medication every day and causes some worry but minimal interference with daily activities.,0.049,0.031,0.072
Metastatic phase of colon and rectum cancers,"Cancer, metastatic","has severe pain, extreme fatigue, weight loss and high anxiety.",0.451,0.307,0.6
Terminal phase of colon and rectum cancers,"Terminal phase, with medication (for cancers, end-stage kidney/liver disease)","has lost a lot of weight and regularly uses strong medication to avoid constant pain. The person has no appetite, feels nauseous, and needs to spend most of the day in bed.",0.54,0.377,0.687
Stoma due to colon and rectum cancer,Stoma and generic medication,(combined DW),0.139,0.094,0.192
Diagnosis and primary therapy phase of colon and rectum cancers,"Cancer, diagnosis and primary therapy ","has pain, nausea, fatigue, weight loss and high anxiety.",0.288,0.193,0.399
Controlled phase of colon and rectum cancers,Generic uncomplicated disease: worry and daily medication,has a chronic disease that requires medication every day and causes some worry but minimal interference with daily activities.,0.049,0.031,0.072
Controlled phase of liver cancer due to hepatitis B,Generic uncomplicated disease: worry and daily medication,has a chronic disease that requires medication every day and causes some worry but minimal interference with daily activities.,0.049,0.031,0.072
Terminal phase of liver cancer due to hepatitis B,"Terminal phase, with medication (for cancers, end-stage kidney/liver disease)","has lost a lot of weight and regularly uses strong medication to avoid constant pain. The person has no appetite, feels nauseous, and needs to spend most of the day in bed.",0.54,0.377,0.687
Diagnosis and primary therapy phase of liver cancer due to hepatitis B,"Cancer, diagnosis and primary therapy ","has pain, nausea, fatigue, weight loss and high anxiety.",0.288,0.193,0.399
Metastatic phase of liver cancer due to hepatitis B,"Cancer, metastatic","has severe pain, extreme fatigue, weight loss and high anxiety.",0.451,0.307,0.6
Controlled phase of liver cancer due to hepatitis C,Generic uncomplicated disease: worry and daily medication,has a chronic disease that requires medication every day and causes some worry but minimal interference with daily activities.,0.049,0.031,0.072
Metastatic phase of liver cancer due to hepatitis C,"Cancer, metastatic","has severe pain, extreme fatigue, weight loss and high anxiety.",0.451,0.307,0.6
Diagnosis and primary therapy phase of liver cancer due to hepatitis C,"Cancer, diagnosis and primary therapy ","has pain, nausea, fatigue, weight loss and high anxiety.",0.288,0.193,0.399
Terminal phase of liver cancer due to hepatitis C,"Terminal phase, with medication (for cancers, end-stage kidney/liver disease)","has lost a lot of weight and regularly uses strong medication to avoid constant pain. The person has no appetite, feels nauseous, and needs to spend most of the day in bed.",0.54,0.377,0.687
Diagnosis and primary therapy phase of liver cancer due to alcohol use,"Cancer, diagnosis and primary therapy ","has pain, nausea, fatigue, weight loss and high anxiety.",0.288,0.193,0.399
Terminal phase of liver cancer due to alcohol use,"Terminal phase, with medication (for cancers, end-stage kidney/liver disease)","has lost a lot of weight and regularly uses strong medication to avoid constant pain. The person has no appetite, feels nauseous, and needs to spend most of the day in bed.",0.54,0.377,0.687
Metastatic phase of liver cancer due to alcohol use,"Cancer, metastatic","has severe pain, extreme fatigue, weight loss and high anxiety.",0.451,0.307,0.6
Controlled phase of liver cancer due to alcohol use,Generic uncomplicated disease: worry and daily medication,has a chronic disease that requires medication every day and causes some worry but minimal interference with daily activities.,0.049,0.031,0.072
Controlled phase of liver cancer due to other causes,Generic uncomplicated disease: worry and daily medication,has a chronic disease that requires medication every day and causes some worry but minimal interference with daily activities.,0.049,0.031,0.072
Metastatic phase of liver cancer due to other causes,"Cancer, metastatic","has severe pain, extreme fatigue, weight loss and high anxiety.",0.451,0.307,0.6
Diagnosis and primary therapy phase of liver cancer due to other causes,"Cancer, diagnosis and primary therapy ","has pain, nausea, fatigue, weight loss and high anxiety.",0.288,0.193,0.399
Terminal phase of liver cancer due to other causes,"Terminal phase, with medication (for cancers, end-stage kidney/liver disease)","has lost a lot of weight and regularly uses strong medication to avoid constant pain. The person has no appetite, feels nauseous, and needs to spend most of the day in bed.",0.54,0.377,0.687
Diagnosis and primary therapy phase of gallbladder and biliary tract cancer,"Cancer, diagnosis and primary therapy ","has pain, nausea, fatigue, weight loss and high anxiety.",0.288,0.193,0.399
Terminal phase of gallbladder and biliary tract cancer,"Terminal phase, with medication (for cancers, end-stage kidney/liver disease)","has lost a lot of weight and regularly uses strong medication to avoid constant pain. The person has no appetite, feels nauseous, and needs to spend most of the day in bed.",0.54,0.377,0.687
Metastatic phase of gallbladder and biliary tract cancer,"Cancer, metastatic","has severe pain, extreme fatigue, weight loss and high anxiety.",0.451,0.307,0.6
Controlled phase of gallbladder and biliary tract cancer,Generic uncomplicated disease: worry and daily medication,has a chronic disease that requires medication every day and causes some worry but minimal interference with daily activities.,0.049,0.031,0.072
Metastatic phase of pancreatic cancer,"Cancer, metastatic","has severe pain, extreme fatigue, weight loss and high anxiety.",0.451,0.307,0.6
Terminal phase of pancreatic cancer,"Terminal phase, with medication (for cancers, end-stage kidney/liver disease)","has lost a lot of weight and regularly uses strong medication to avoid constant pain. The person has no appetite, feels nauseous, and needs to spend most of the day in bed.",0.54,0.377,0.687
Controlled phase of pancreatic cancer,Generic uncomplicated disease: worry and daily medication,has a chronic disease that requires medication every day and causes some worry but minimal interference with daily activities.,0.049,0.031,0.072
Diagnosis and primary therapy phase of pancreatic cancer,"Cancer, diagnosis and primary therapy ","has pain, nausea, fatigue, weight loss and high anxiety.",0.288,0.193,0.399
Metastatic phase of larynx cancer,"Cancer, metastatic","has severe pain, extreme fatigue, weight loss and high anxiety.",0.451,0.307,0.6
Laryngectomy due to larynx cancer,Speech problems and generic medication,(combined DW),0.098,0.063,0.145
Controlled phase of larynx cancer,Generic uncomplicated disease: worry and daily medication,has a chronic disease that requires medication every day and causes some worry but minimal interference with daily activities.,0.049,0.031,0.072
Diagnosis and primary therapy phase of larynx cancer,"Cancer, diagnosis and primary therapy ","has pain, nausea, fatigue, weight loss and high anxiety.",0.288,0.193,0.399
Terminal phase of larynx cancer,"Terminal phase, with medication (for cancers, end-stage kidney/liver disease)","has lost a lot of weight and regularly uses strong medication to avoid constant pain. The person has no appetite, feels nauseous, and needs to spend most of the day in bed.",0.54,0.377,0.687
"Metastatic phase of lung, bronchus, and trachea cancer","Cancer, metastatic","has severe pain, extreme fatigue, weight loss and high anxiety.",0.451,0.307,0.6
"Diagnosis and primary therapy phase of lung, bronchus, and trachea cancer","Cancer, diagnosis and primary therapy ","has pain, nausea, fatigue, weight loss and high anxiety.",0.288,0.193,0.399
"Controlled phase of lung, bronchus, and trachea cancer",Generic uncomplicated disease: worry and daily medication,has a chronic disease that requires medication every day and causes some worry but minimal interference with daily activities.,0.049,0.031,0.072
"Terminal phase of lung, bronchus, and trachea cancer","Terminal phase, with medication (for cancers, end-stage kidney/liver disease)","has lost a lot of weight and regularly uses strong medication to avoid constant pain. The person has no appetite, feels nauseous, and needs to spend most of the day in bed.",0.54,0.377,0.687
Controlled phase of malignant skin melanoma,Generic uncomplicated disease: worry and daily medication,has a chronic disease that requires medication every day and causes some worry but minimal interference with daily activities.,0.049,0.031,0.072
Metastatic phase of malignant skin melanoma,"Cancer, metastatic","has severe pain, extreme fatigue, weight loss and high anxiety.",0.451,0.307,0.6
Terminal phase of malignant skin melanoma,"Terminal phase, with medication (for cancers, end-stage kidney/liver disease)","has lost a lot of weight and regularly uses strong medication to avoid constant pain. The person has no appetite, feels nauseous, and needs to spend most of the day in bed.",0.54,0.377,0.687
Diagnosis and primary therapy phase of malignant skin melanoma,"Cancer, diagnosis and primary therapy ","has pain, nausea, fatigue, weight loss and high anxiety.",0.288,0.193,0.399
Severe disfigurement due to squamous cell carcinoma,"Disfigurement, level 3, with itch/pain","has an obvious physical deformity that is very painful and itchy. The physical deformity makes others uncomfortable, which causes the person to avoid social contact, feel worried, sleep poorly, and think about suicide.",0.576,0.401,0.731
Moderate disfigurement due to squamous cell carcinoma,"Disfigurement, level 2","has a visible physical deformity that causes others to stare and comment. As a result, the person is worried and has trouble sleeping and concentrating.",0.067,0.044,0.096
Mild disfigurement due to squamous cell carcinoma,"Disfigurement, level 1","has a slight, visible physical deformity that others notice, which causes some worry and discomfort.",0.011,0.005,0.021
Disfigurement due to basal cell carcinoma,"Disfigurement, level 1","has a slight, visible physical deformity that others notice, which causes some worry and discomfort.",0.011,0.005,0.021
Diagnosis and primary therapy phase of breast cancer,"Cancer, diagnosis and primary therapy ","has pain, nausea, fatigue, weight loss and high anxiety.",0.288,0.193,0.399
Mastectomy due to breast cancer,Mastectomy and generic medication,(combined DW),0.083,0.052,0.124
Controlled phase of breast cancer,Generic uncomplicated disease: worry and daily medication,has a chronic disease that requires medication every day and causes some worry but minimal interference with daily activities.,0.049,0.031,0.072
Metastatic phase of breast cancer,"Cancer, metastatic","has severe pain, extreme fatigue, weight loss and high anxiety.",0.451,0.307,0.6
Terminal phase of breast cancer,"Terminal phase, with medication (for cancers, end-stage kidney/liver disease)","has lost a lot of weight and regularly uses strong medication to avoid constant pain. The person has no appetite, feels nauseous, and needs to spend most of the day in bed.",0.54,0.377,0.687
Terminal phase of cervical cancer,"Terminal phase, with medication (for cancers, end-stage kidney/liver disease)","has lost a lot of weight and regularly uses strong medication to avoid constant pain. The person has no appetite, feels nauseous, and needs to spend most of the day in bed.",0.54,0.377,0.687
Diagnosis and primary therapy phase of cervical cancer,"Cancer, diagnosis and primary therapy ","has pain, nausea, fatigue, weight loss and high anxiety.",0.288,0.193,0.399
Controlled phase of cervical cancer,Generic uncomplicated disease: worry and daily medication,has a chronic disease that requires medication every day and causes some worry but minimal interference with daily activities.,0.049,0.031,0.072
Metastatic phase of cervical cancer,"Cancer, metastatic","has severe pain, extreme fatigue, weight loss and high anxiety.",0.451,0.307,0.6
Controlled phase of uterine cancer,Generic uncomplicated disease: worry and daily medication,has a chronic disease that requires medication every day and causes some worry but minimal interference with daily activities.,0.049,0.031,0.072
Terminal phase of uterine cancer,"Terminal phase, with medication (for cancers, end-stage kidney/liver disease)","has lost a lot of weight and regularly uses strong medication to avoid constant pain. The person has no appetite, feels nauseous, and needs to spend most of the day in bed.",0.54,0.377,0.687
Diagnosis and primary therapy phase of uterine cancer,"Cancer, diagnosis and primary therapy ","has pain, nausea, fatigue, weight loss and high anxiety.",0.288,0.193,0.399
Metastatic phase of uterine cancer,"Cancer, metastatic","has severe pain, extreme fatigue, weight loss and high anxiety.",0.451,0.307,0.6
Diagnosis and primary therapy phase of ovarian cancer,"Cancer, diagnosis and primary therapy ","has pain, nausea, fatigue, weight loss and high anxiety.",0.288,0.193,0.399
Controlled phase of ovarian cancer,Generic uncomplicated disease: worry and daily medication,has a chronic disease that requires medication every day and causes some worry but minimal interference with daily activities.,0.049,0.031,0.072
Metastatic phase of ovarian cancer,"Cancer, metastatic","has severe pain, extreme fatigue, weight loss and high anxiety.",0.451,0.307,0.6
Terminal phase of ovarian cancer,"Terminal phase, with medication (for cancers, end-stage kidney/liver disease)","has lost a lot of weight and regularly uses strong medication to avoid constant pain. The person has no appetite, feels nauseous, and needs to spend most of the day in bed.",0.54,0.377,0.687
Diagnosis and primary therapy phase of prostate cancer,"Cancer, diagnosis and primary therapy ","has pain, nausea, fatigue, weight loss and high anxiety.",0.288,0.193,0.399
Impotence due to prostate cancer,Impotence and generic medication,(combined DW),0.065,0.04,0.1
Terminal phase of prostate cancer,"Terminal phase, with medication (for cancers, end-stage kidney/liver disease)","has lost a lot of weight and regularly uses strong medication to avoid constant pain. The person has no appetite, feels nauseous, and needs to spend most of the day in bed.",0.54,0.377,0.687
Controlled phase of prostate cancer,Generic uncomplicated disease: worry and daily medication,has a chronic disease that requires medication every day and causes some worry but minimal interference with daily activities.,0.049,0.031,0.072
Metastatic phase of prostate cancer,"Cancer, metastatic","has severe pain, extreme fatigue, weight loss and high anxiety.",0.451,0.307,0.6
Incontinence due to prostate cancer,Incontinence and generic medication,(combined DW),0.181,0.124,0.248
Terminal phase of testicular cancer,"Terminal phase, with medication (for cancers, end-stage kidney/liver disease)","has lost a lot of weight and regularly uses strong medication to avoid constant pain. The person has no appetite, feels nauseous, and needs to spend most of the day in bed.",0.54,0.377,0.687
Metastatic phase of testicular cancer,"Cancer, metastatic","has severe pain, extreme fatigue, weight loss and high anxiety.",0.451,0.307,0.6
